id,no_jobs,no_machines,objective,type,pt_sd,mean_sd_per_machine,mean_sd_per_job,mean_skew_per_machine,mean_skew_per_job,mean_kurt_per_machine,mean_kurt_per_job
83,100,20,MAKESPAN,PERM,50.07618411442162,49.69103680109984,48.05098006209887,1.7405294442429828,1.213206472786518,-0.2784235114859318,-0.42572150698662226
84,100,20,MAKESPAN,PERM,50.07618411442162,49.69103680109984,48.05098006209887,1.7405294442429828,1.213206472786518,-0.21121706856896463,-0.2303396818066204
86,100,40,FLOWTIME,NOIDLE,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,-0.9223973631168159,0.2526928918130204
87,100,40,FLOWTIME,NOWAIT,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,-0.2909283252473578,-0.5790535837059707
88,100,40,FLOWTIME,NOWAIT,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,0.04075388224697933,0.3584662079876714
89,100,40,FLOWTIME,PERM,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,-0.5297073148646052,-0.05827311351354437
90,100,40,FLOWTIME,PERM,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,0.3741023751541881,-0.24761919302056762
92,100,40,MAKESPAN,NOIDLE,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,-0.23483484013429318,-0.17226667996832296
93,100,40,MAKESPAN,NOWAIT,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,-0.3047827717607216,-0.1960483120945416
95,100,40,MAKESPAN,PERM,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,0.004511936534093724,0.08527276514310334
96,100,40,MAKESPAN,PERM,50.19735836538463,49.69191630422358,49.109043257552855,1.7635875451724348,1.5327873035415043,-0.42706539853870557,-0.49904229647107967
97,200,20,FLOWTIME,NOIDLE,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,-0.12147992932547798,-0.2964620396461602
98,200,20,FLOWTIME,NOIDLE,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,-0.5272912502970346,-0.15114839059880977
99,200,20,FLOWTIME,NOWAIT,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,0.10155202686195555,-0.5091220081982184
100,200,20,FLOWTIME,NOWAIT,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,0.3344650220298515,0.08361567950907837
102,200,20,FLOWTIME,PERM,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,-0.16904505758274435,-0.16489476806057723
103,200,20,MAKESPAN,NOIDLE,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,-1.0321761089860457,-0.08737040944176405
104,200,20,MAKESPAN,NOIDLE,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,0.5204771896075204,-0.14541987511743837
107,200,20,MAKESPAN,PERM,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,-0.31162117178745646,-0.0014792961543380057
108,200,20,MAKESPAN,PERM,49.871939676283716,49.660477814074696,47.86979956300897,1.8777263324865887,1.2403454749079754,-0.1969109132335104,-0.2702051320678065
109,200,40,FLOWTIME,NOIDLE,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,0.054141065110545825,-0.059588838216381404
