dist,corr,no_jobs,no_machines,problem,type,objective,instance,cost,time,no_evals
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_09.txt,7425,180000,994274337
exponential,random,10,10,flowshop,NOWAIT,FLOWTIME,exponential_random_10_10_10.txt,8165,180000,996496721
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_01.txt,1520,180000,1020267583
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_02.txt,1569,180000,1038585611
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_03.txt,1478,180000,1032880199
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_04.txt,1335,180000,1064604893
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_05.txt,1484,180000,1056867068
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_06.txt,1496,180000,1062636129
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_07.txt,1674,180000,1041557383
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_08.txt,1459,180000,1062989872
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_09.txt,1152,180000,1042509713
exponential,random,10,10,flowshop,NOWAIT,MAKESPAN,exponential_random_10_10_10.txt,1295,180000,1015803712
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_01.txt,8102,180000,460227185
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_02.txt,7919,180000,452337716
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_03.txt,8331,180000,457924688
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_04.txt,8034,180000,456498919
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_05.txt,8051,180000,450759709
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_06.txt,7615,180000,464695552
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_07.txt,8125,180000,460812111
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_08.txt,8557,180000,461584938
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_09.txt,6762,180000,455680307
exponential,random,10,10,flowshop,PERM,FLOWTIME,exponential_random_10_10_10.txt,7267,180000,450580224
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_01.txt,1124,180000,887920581
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_02.txt,1101,180000,889375769
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_03.txt,1243,180000,950267008
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_04.txt,1121,180000,915952578
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_05.txt,1249,180000,895818961
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_06.txt,1238,180000,884176875
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_07.txt,1308,180000,885234747
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_08.txt,1253,180000,874001268
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_09.txt,950,180000,960880997
exponential,random,10,10,flowshop,PERM,MAKESPAN,exponential_random_10_10_10.txt,1042,180000,912794982
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_01.txt,51949,360000,354187548
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_02.txt,29889,360000,351769750
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_03.txt,44667,360000,353628267
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_04.txt,35798,360000,341798771
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_05.txt,39246,360000,351389401
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_06.txt,28538,360000,349591159
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_07.txt,34615,360000,352265729
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_08.txt,35854,360000,351561780
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_09.txt,40370,360000,351288006
exponential,random,20,10,flowshop,NOIDLE,FLOWTIME,exponential_random_20_10_10.txt,34936,360000,349119698
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_01.txt,3100,360000,358080289
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_02.txt,2061,360000,355722609
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_03.txt,2787,360000,361348789
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_04.txt,2383,360000,349433253
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_05.txt,2282,360000,348665270
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_06.txt,1942,360000,358214276
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_07.txt,2113,360000,355316710
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_08.txt,2266,360000,360987132
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_09.txt,2428,360000,361665374
exponential,random,20,10,flowshop,NOIDLE,MAKESPAN,exponential_random_20_10_10.txt,2224,360000,355208049
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_01.txt,27173,360000,1845075250
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_02.txt,23905,360000,1922196786
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_03.txt,27527,360000,1902798021
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_04.txt,24661,360000,1853716621
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_05.txt,30075,360000,1889603868
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_06.txt,25399,360000,1895366618
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_07.txt,24570,360000,1904805354
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_08.txt,26975,360000,1926788067
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_09.txt,27650,360000,1934337879
exponential,random,20,10,flowshop,NOWAIT,FLOWTIME,exponential_random_20_10_10.txt,26307,360000,1842548642
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_01.txt,2606,360000,1994466043
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_02.txt,2356,360000,2027285409
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_03.txt,2827,360000,2025697058
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_04.txt,2325,360000,2054469460
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_05.txt,2729,360000,2056567184
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_06.txt,2267,360000,2123701661
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_07.txt,2304,360000,2029197964
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_08.txt,2715,360000,2137901119
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_09.txt,2682,360000,2037934671
exponential,random,20,10,flowshop,NOWAIT,MAKESPAN,exponential_random_20_10_10.txt,2506,360000,2044190773
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_01.txt,21920,360000,661329166
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_02.txt,19626,360000,673414533
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_03.txt,21700,360000,661202592
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_04.txt,19579,360000,666615204
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_05.txt,24451,360000,689385350
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_06.txt,20452,360000,669268416
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_07.txt,20079,360000,676875140
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_08.txt,21534,360000,675252561
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_09.txt,22524,360000,665793413
exponential,random,20,10,flowshop,PERM,FLOWTIME,exponential_random_20_10_10.txt,21749,360000,670304745
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_01.txt,1733,360000,2121001773
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_02.txt,1612,360000,2110793303
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_03.txt,1927,360000,2119673700
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_04.txt,1683,360000,2063641407
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_05.txt,1792,360001,2171528891
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_06.txt,1520,360000,2294821105
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_07.txt,1697,360000,2040695110
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_08.txt,1809,360000,2095862511
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_09.txt,1813,360000,2089531504
exponential,random,20,10,flowshop,PERM,MAKESPAN,exponential_random_20_10_10.txt,1676,360000,2339228404
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_01.txt,38186,270000,326298139
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_02.txt,41056,270000,324807500
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_03.txt,44389,270000,323017655
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_04.txt,47184,270000,328312314
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_05.txt,32455,270000,325821168
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_06.txt,61521,270000,327012896
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_07.txt,37234,270000,326997647
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_08.txt,30863,270000,326065765
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_09.txt,38776,270000,326420223
exponential,random,30,5,flowshop,NOIDLE,FLOWTIME,exponential_random_30_5_10.txt,32277,270000,328081439
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_01.txt,1948,270000,341673880
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_02.txt,2120,270000,343833995
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_03.txt,2571,270000,338578412
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_04.txt,2397,270000,340784862
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_05.txt,2001,270000,342206136
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_06.txt,2814,270000,342512454
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_07.txt,1987,270000,340446108
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_08.txt,1693,270000,340729204
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_09.txt,2454,270000,340695473
exponential,random,30,5,flowshop,NOIDLE,MAKESPAN,exponential_random_30_5_10.txt,2129,270000,340431451
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_01.txt,34302,270000,1140438914
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_02.txt,34160,270000,1176257450
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_03.txt,36799,270008,1166045729
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_04.txt,29196,270000,1183452492
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_05.txt,28461,270000,1154824290
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_06.txt,28674,270000,1147057824
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_07.txt,27898,270000,1155751040
